provincescode,bpscode,provincesname
ID.SR.PM,7602,"Polewali Mandar, Kab."
ID.SR.MA,7603,"Mamasa, Kab."
ID.SR.MM,7604,"Mamuju, Kab."
ID.SR.MU,7605,"Mamuju Utara, Kab."
ID.SR.MT,7606,"Mamuju Tengah, Kab."
ID.MA.MU,8101,"Maluku Tenggara Barat, Kab."
ID.MA.MG,8102,"Maluku Tenggara, Kab."
ID.MA.MT,8103,"Maluku Tengah, Kab."
ID.MA.BU,8104,"Buru, Kab."
ID.MA.KA,8105,"Kepulauan Aru, Kab."
ID.MA.SB,8106,"Seram Bagian Barat, Kab."
ID.MA.ST,8107,"Seram Bagian Timur, Kab."
ID.MA.MB,8108,"Maluku Barat Daya, Kab."
ID.MA.BS,8109,"Buru Selatan, Kab."
ID.MA.AM,8171,"Ambon, Kota"
ID.MA.TA,8172,"Tual, Kota"
ID.MU.HB,8201,"Halmahera Barat, Kab."
ID.MU.HT,8202,"Halmahera Tengah, Kab."
ID.MU.KS,8203,"Kepulauan Sula, Kab."
ID.MU.HS,8204,"Halmahera Selatan, Kab."
ID.MU.HU,8205,"Halmahera Utara, Kab."
ID.MU.HI,8206,"Halmahera Timur, Kab."
ID.MU.PM,8207,"Pulau Morotai, Kab."
ID.MU.PT,8208,"Pulau Taliabu, Kab."
ID.MU.TE,8271,"Ternate, Kota"
ID.MU.TK,8272,"Kepulauan Tidore, Kota"
ID.IB.FA,9101,"Fakfak, Kab."
ID.IB.KA,9102,"Kaimana, Kab."
ID.IB.TW,9103,"Teluk Wondama, Kab."
ID.IB.TB,9104,"Teluk Bintuni, Kab."
ID.IB.MA,9105,"Manokwari, Kab."
ID.IB.SS,9106,"Sorong Selatan, Kab."
ID.IB.SG,9107,"Sorong, Kab."
ID.IB.RA,9108,"Raja Ampat, Kab."
ID.IB.TM,9109,"Tambrauw, Kab"
ID.IB.MY,9110,"Maybrat, Kab."
ID.IB.MS,9111,"Manokwari Selatan, Kab."
ID.IB.PA,9112,"Pegunungan Arfak, Kab."
ID.IB.SR,9171,"Sorong, Kota"
ID.PA.ME,9401,"Merauke, Kab."
ID.PA.JA,9402,"Jayawijaya, Kab."
ID.PA.JR,9403,"Jayapura, Kab."
ID.PA.NA,9404,"Nabire, Kab."
ID.PA.YW,9408,"Kepulauan Yapen, Kab."
ID.PA.BN,9409,"Biak Numfor, Kab."
ID.PA.PA,9410,"Paniai, Kab."
ID.PA.PJ,9411,"Puncak Jaya, Kab."
ID.PA.MI,9412,"Mimika, Kab."
ID.PA.BD,9413,"Boven Digoel, Kab."
ID.PA.MP,9414,"Mappi, Kab."
ID.PA.AS,9415,"Asmat, Kab."
ID.PA.YA,9416,"Yahukimo, Kab."
ID.PA.PB,9417,"Pegunungan Bintang, Kab."
ID.PA.TO,9418,"Tolikara, Kab."
ID.PA.SA,9419,"Sarmi, Kab."
ID.PA.KE,9420,"Keerom, Kab."
ID.PA.WA,9426,"Waropen, Kab."
ID.PA.SU,9427,"Supiori, Kab."
ID.PA.MR,9428,"Mamberamo Raya, Kab."
ID.PA.NU,9429,"Nduga, Kab."
ID.PA.LJ,9430,"Lanny Jaya, Kab."
ID.PA.MT,9431,"Mamberamo Tengah, Kab."
ID.PA.YL,9432,"Yalimo, Kab."
ID.PA.PN,9433,"Puncak, Kab."
ID.PA.DG,9434,"Dogiyai, Kab."
ID.PA.IJ,9435,"Intan Jaya, Kab."
ID.PA.DI,9436,"Deiyai, Kab."
ID.PA.JY,9471,"Jayapura, Kota"
